"x","number"
"1946 NH",7873
"1946 NJ",6573
"1946 NM",12389
"1946 NV",953
"1946 NY",4959
"1946 OH",21566
"1946 OK",12587
"1946 OR",12212
"1946 PA",7442
"1946 RI",11719
"1946 SC",16793
"1946 SD",1669
"1946 TN",11017
"1946 TX",5399
"1946 UT",11189
"1946 VA",16727
"1946 VT",10266
"1946 WA",12547
"1946 WI",12862
"1946 WV",9790
"1946 WY",8132
"1947 AL",13946
"1947 AR",14090
"1947 AZ",9582
"1947 CA",9979
"1947 CO",17237
"1947 CT",19570
"1947 DC",11083
"1947 DE",10575
"1947 FL",15316
"1947 GA",12781
"1947 IA",9546
"1947 ID",11133
"1947 IL",16379
"1947 IN",17954
"1947 KS",14772
"1947 KY",13198
"1947 LA",14164
"1947 MA",6460
"1947 MD",22301
"1947 ME",8343
"1947 MI",7249
"1947 MN",17146
"1947 MO",12846
"1947 MS",9617
"1947 MT",11935
"1947 NC",18858
"1947 ND",6928
"1947 NE",9421
"1947 NH",7651
"1947 NJ",5989
"1947 NM",8949
"1947 NV",650
"1947 NY",6205
"1947 OH",8027
"1947 OK",12847
"1947 OR",9370
"1947 PA",6207
"1947 RI",9445
"1947 SC",14918
"1947 SD",6993
"1947 TN",14349
"1947 TX",15876
"1947 UT",11069
"1947 VA",20120
"1947 VT",13413
"1947 WA",10989
"1947 WI",5495
"1947 WV",8753
"1947 WY",7761
"1948 AL",12669
"1948 AR",11844
"1948 AZ",13881
"1948 CA",18246
"1948 CO",15609
"1948 CT",11895
"1948 DC",11234
"1948 DE",3774
"1948 FL",10913
"1948 GA",10851
"1948 IA",14545
"1948 ID",14026
"1948 IL",16591
"1948 IN",11814
"1948 KS",15615
"1948 KY",11512
"1948 LA",7203
"1948 MA",17497
"1948 MD",9386
"1948 ME",12275
"1948 MI",12279
"1948 MN",11742
"1948 MO",9893
"1948 MS",8430
"1948 MT",11220
"1948 NC",15671
"1948 ND",9211
"1948 NE",8414
"1948 NH",6165
"1948 NJ",20242
"1948 NM",8496
"1948 NV",791
"1948 NY",11336
"1948 OH",15309
"1948 OK",10806
"1948 OR",11009
"1948 PA",18742
"1948 RI",10058
"1948 SC",16933
"1948 SD",6788
"1948 TN",11852
"1948 TX",17209
"1948 UT",8437
"1948 VA",16029
"1948 VT",12998
"1948 WA",14177
"1948 WI",14922
"1948 WV",9992
"1948 WY",6847
"1949 AL",13216
"1949 AR",10589
"1949 AZ",10226
"1949 CA",20293
"1949 CO",12097
"1949 CT",14868
"1949 DC",6344
"1949 DE",9109
"1949 FL",8310
"1949 GA",10089
"1949 IA",11397
"1949 ID",7734
"1949 IL",17517
"1949 IN",9190
"1949 KS",13582
"1949 KY",12424
"1949 LA",4209
"1949 MA",17669
"1949 MD",13622
"1949 ME",14147
"1949 MI",11290
"1949 MN",8035
"1949 MO",16086
"1949 MS",13013
"1949 MT",6015
"1949 NC",10619
"1949 ND",7172
"1949 NE",4405
"1949 NH",7090
"1949 NJ",16046
"1949 NM",7569
"1949 NV",752
"1949 NY",5341
"1949 OH",18724
"1949 OK",11859
"1949 OR",8484
"1949 PA",13880
"1949 RI",10972
"1949 SC",8093
"1949 SD",3229
"1949 TN",10974
"1949 TX",14901
"1949 UT",11889
"1949 VA",10835
"1949 VT",8254
"1949 WA",8159
"1949 WI",15390
"1949 WV",8933
"1949 WY",2138
"1950 AK",3186
"1950 AL",11497
"1950 AR",14838
"1950 AZ",16476
"1950 CA",11263
"1950 CO",9085
"1950 CT",13308
"1950 DC",10450
"1950 DE",13502
"1950 FL",12341
"1950 GA",9311
"1950 HI",1430
"1950 IA",10795
"1950 ID",9280
"1950 IL",18924
"1950 IN",14801
"1950 KS",14096
"1950 KY",13646
"1950 LA",8164
"1950 MA",12515
"1950 MD",15829
"1950 ME",13963
"1950 MI",6917
"1950 MN",10593
"1950 MO",10795
"1950 MS",12500
"1950 MT",9797
"1950 NC",17975
"1950 ND",8470
"1950 NE",10437
"1950 NH",8916
"1950 NJ",9797
"1950 NM",9231
"1950 NV",418
"1950 NY",4577
"1950 OH",13777
"1950 OK",11035
"1950 OR",14854
"1950 PA",13784
"1950 RI",14260
"1950 SC",10634
"1950 SD",7468
"1950 TN",14253
"1950 TX",8368
"1950 UT",8533
"1950 VA",15182
"1950 VT",12323
"1950 WA",15929
"1950 WI",8408
"1950 WV",17386
"1950 WY",5354
"1951 AK",3646
"1951 AL",11899
"1951 AR",12089
"1951 AZ",14772
"1951 CA",20421
"1951 CO",5530
"1951 CT",12190
"1951 DC",9783
"1951 DE",3500
"1951 FL",9794
"1951 GA",11056
"1951 HI",243
"1951 IA",9723
"1951 ID",11016
"1951 IL",10555
"1951 IN",9122
"1951 KS",10632
"1951 KY",10409
"1951 LA",10041
"1951 MA",15724
"1951 MD",12657
"1951 ME",12163
"1951 MI",20209
"1951 MN",9010
"1951 MO",11914
"1951 MS",10908
"1951 MT",11999
"1951 NC",15521
"1951 ND",9718
"1951 NE",5823
"1951 NH",11055
"1951 NJ",19082
"1951 NM",10537
"1951 NV",341
"1951 NY",19275
"1951 OH",14960
"1951 OK",8940
"1951 OR",12688
"1951 PA",19238
"1951 RI",5999
"1951 SC",10480
"1951 SD",6863
"1951 TN",9498
"1951 TX",9206
"1951 UT",10352
"1951 VA",13105
"1951 VT",8952
"1951 WA",10185
"1951 WI",19741
"1951 WV",9241
"1951 WY",8688
"1952 AL",10105
"1952 AR",9645
"1952 AZ",11941
"1952 CA",17337
"1952 CO",11319
"1952 CT",13006
"1952 DC",4325
"1952 DE",1630
"1952 FL",11527
"1952 GA",8978
"1952 IA",8732
"1952 ID",4515
"1952 IL",7928
"1952 IN",12037
"1952 KS",10479
"1952 KY",14278
"1952 LA",9636
"1952 MA",11432
"1952 MD",11265
"1952 ME",10157
"1952 MI",14578
"1952 MN",6388
"1952 MO",12949
"1952 MS",13002
"1952 MT",5438
"1952 NC",12984
"1952 ND",1640
"1952 NE",4343
"1952 NH",5664
"1952 NJ",12243
"1952 NM",9323
"1952 NV",335
"1952 NY",18584
"1952 OH",10197
"1952 OK",12757
"1952 OR",15081
"1952 PA",18361
"1952 RI",5291
"1952 SC",7843
"1952 SD",2165
"1952 TN",10678
"1952 TX",12876
"1952 UT",5249
"1952 VA",7992
"1952 VT",11174
"1952 WA",8492
"1952 WI",10503
"1952 WV",11236
"1952 WY",1304
"1953 AL",13291
"1953 AR",12259
"1953 AZ",8451
"1953 CA",15372
"1953 CO",7823
"1953 CT",9232
"1953 DC",8339
"1953 DE",1860
"1953 FL",11041
"1953 GA",6154
"1953 IA",9137
"1953 ID",4143
"1953 IL",11643
"1953 IN",11280
"1953 KS",7564
"1953 KY",10844
"1953 LA",5921
"1953 MA",12627
"1953 MD",11370
"1953 ME",11453
"1953 MI",16909
"1953 MN",8811
"1953 MO",12742
"1953 MS",7267
"1953 MT",5248
"1953 NC",9501
"1953 ND",9
"1953 NE",2597
"1953 NH",6517
"1953 NJ",13995
"1953 NM",12755
"1953 NV",3
"1953 NY",11567
"1953 OH",11477
"1953 OK",11088
"1953 OR",9172
"1953 PA",19828
"1953 RI",9649
"1953 SC",9297
"1953 SD",1718
"1953 TN",13768
"1953 TX",14386
"1953 UT",2559
"1953 VA",13325
"1953 VT",11253
"1953 WA",10026
"1953 WI",9317
"1953 WV",8864
"1953 WY",3129
"1954 AL",9605
"1954 AR",9681
"1954 AZ",9656
"1954 CA",11765
"1954 CO",10571
"1954 CT",13037
"1954 DC",9699
"1954 DE",1901
"1954 FL",15125
"1954 GA",11684
"1954 HI",5500
"1954 IA",12621
"1954 ID",8059
"1954 IL",14419
"1954 IN",9596
"1954 KS",11671
"1954 KY",14489
"1954 LA",10188
"1954 MA",19606
"1954 MD",9100
"1954 ME",10257
"1954 MI",14639
"1954 MN",12118
"1954 MO",12115
"1954 MS",9949
"1954 MT",9341
"1954 NC",10125
"1954 ND",7450
"1954 NH",6868
"1954 NJ",15261
"1954 NM",12909
"1954 NV",1830
"1954 NY",16591
"1954 OH",17346
"1954 OK",13231
"1954 OR",9789
"1954 PA",19703
"1954 RI",13004
"1954 SC",11499
"1954 SD",5297
"1954 TN",11051
"1954 TX",11016
