number,week,year,date,decade,month,season
2381,15,1947,4/7/1947,1940,4,Spring
2076,16,1947,4/14/1947,1940,4,Spring
3017,17,1947,4/21/1947,1940,4,Spring
2047,18,1947,4/28/1947,1940,4,Spring
1957,19,1947,5/5/1947,1940,5,Spring
1897,20,1947,5/12/1947,1940,5,Spring
1811,21,1947,5/19/1947,1940,5,Spring
1513,22,1947,5/26/1947,1940,5,Spring
1555,23,1947,6/2/1947,1940,6,Summer
1263,24,1947,6/9/1947,1940,6,Summer
1018,25,1947,6/16/1947,1940,6,Summer
614,27,1947,6/30/1947,1940,6,Summer
604,28,1947,7/7/1947,1940,7,Summer
555,29,1947,7/14/1947,1940,7,Summer
466,30,1947,7/21/1947,1940,7,Summer
451,31,1947,7/28/1947,1940,7,Summer
455,32,1947,8/4/1947,1940,8,Summer
377,33,1947,8/11/1947,1940,8,Summer
370,34,1947,8/18/1947,1940,8,Summer
402,35,1947,8/25/1947,1940,8,Summer
400,36,1947,9/1/1947,1940,9,Autumn
433,37,1947,9/8/1947,1940,9,Autumn
482,38,1947,9/15/1947,1940,9,Autumn
584,39,1947,9/22/1947,1940,9,Autumn
721,40,1947,9/29/1947,1940,9,Autumn
873,41,1947,10/6/1947,1940,10,Autumn
1028,42,1947,10/13/1947,1940,10,Autumn
1152,43,1947,10/20/1947,1940,10,Autumn
1270,44,1947,10/27/1947,1940,10,Autumn
1165,45,1947,11/3/1947,1940,11,Autumn
1504,46,1947,11/10/1947,1940,11,Autumn
1721,47,1947,11/17/1947,1940,11,Autumn
1551,48,1947,11/24/1947,1940,11,Autumn
1837,49,1947,12/1/1947,1940,12,Winter
1934,50,1947,12/8/1947,1940,12,Winter
1697,51,1947,12/15/1947,1940,12,Winter
1668,52,1947,12/22/1947,1940,12,Winter
1688,53,1947,12/29/1947,1940,12,Winter
2091,2,1948,1/5/1948,1940,1,Winter
2265,3,1948,1/12/1948,1940,1,Winter
1972,4,1948,1/19/1948,1940,1,Winter
2194,5,1948,1/26/1948,1940,1,Winter
2250,6,1948,2/2/1948,1940,2,Winter
2536,7,1948,2/9/1948,1940,2,Winter
2646,8,1948,2/16/1948,1940,2,Winter
2552,9,1948,2/23/1948,1940,2,Winter
2591,10,1948,3/1/1948,1940,3,Spring
2736,11,1948,3/8/1948,1940,3,Spring
2667,12,1948,3/15/1948,1940,3,Spring
2148,13,1948,3/22/1948,1940,3,Spring
2088,15,1948,4/5/1948,1940,4,Spring
2051,16,1948,4/12/1948,1940,4,Spring
2010,17,1948,4/19/1948,1940,4,Spring
1990,18,1948,4/26/1948,1940,4,Spring
1975,19,1948,5/3/1948,1940,5,Spring
1925,20,1948,5/10/1948,1940,5,Spring
1791,21,1948,5/17/1948,1940,5,Spring
1527,22,1948,5/24/1948,1940,5,Spring
1538,23,1948,5/31/1948,1940,5,Spring
1338,24,1948,6/7/1948,1940,6,Summer
1066,25,1948,6/14/1948,1940,6,Summer
781,26,1948,6/21/1948,1940,6,Summer
608,27,1948,6/28/1948,1940,6,Summer
376,28,1948,7/5/1948,1940,7,Summer
485,29,1948,7/12/1948,1940,7,Summer
395,30,1948,7/19/1948,1940,7,Summer
316,31,1948,7/26/1948,1940,7,Summer
348,32,1948,8/2/1948,1940,8,Summer
351,33,1948,8/9/1948,1940,8,Summer
353,34,1948,8/16/1948,1940,8,Summer
296,35,1948,8/23/1948,1940,8,Summer
315,36,1948,8/30/1948,1940,8,Summer
447,37,1948,9/6/1948,1940,9,Autumn
585,38,1948,9/13/1948,1940,9,Autumn
665,39,1948,9/20/1948,1940,9,Autumn
783,40,1948,9/27/1948,1940,9,Autumn
971,41,1948,10/4/1948,1940,10,Autumn
1076,42,1948,10/11/1948,1940,10,Autumn
1196,43,1948,10/18/1948,1940,10,Autumn
1475,44,1948,10/25/1948,1940,10,Autumn
1410,45,1948,11/1/1948,1940,11,Autumn
1600,46,1948,11/8/1948,1940,11,Autumn
1495,47,1948,11/15/1948,1940,11,Autumn
1787,48,1948,11/22/1948,1940,11,Autumn
2132,49,1948,11/29/1948,1940,11,Autumn
1997,1,1948,12/29/1947,1940,12,Winter
2081,50,1948,12/6/1948,1940,12,Winter
1689,51,1948,12/13/1948,1940,12,Winter
1935,52,1948,12/20/1948,1940,12,Winter
2019,1,1949,1/3/1949,1940,1,Winter
2476,2,1949,1/10/1949,1940,1,Winter
2758,3,1949,1/17/1949,1940,1,Winter
2982,4,1949,1/24/1949,1940,1,Winter
2971,5,1949,1/31/1949,1940,1,Winter
2771,6,1949,2/7/1949,1940,2,Winter
3030,7,1949,2/14/1949,1940,2,Winter
3138,8,1949,2/21/1949,1940,2,Winter
2964,9,1949,2/28/1949,1940,2,Winter
3123,10,1949,3/7/1949,1940,3,Spring
3252,11,1949,3/14/1949,1940,3,Spring
2966,12,1949,3/21/1949,1940,3,Spring
2806,13,1949,3/28/1949,1940,3,Spring
2496,14,1949,4/4/1949,1940,4,Spring
2258,15,1949,4/11/1949,1940,4,Spring
2076,16,1949,4/18/1949,1940,4,Spring
2021,17,1949,4/25/1949,1940,4,Spring
1767,18,1949,5/2/1949,1940,5,Spring
1551,19,1949,5/9/1949,1940,5,Spring
1572,20,1949,5/16/1949,1940,5,Spring
1358,21,1949,5/23/1949,1940,5,Spring
1134,22,1949,5/30/1949,1940,5,Spring
1094,23,1949,6/6/1949,1940,6,Summer
880,24,1949,6/13/1949,1940,6,Summer
657,25,1949,6/20/1949,1940,6,Summer
473,26,1949,6/27/1949,1940,6,Summer
369,27,1949,7/4/1949,1940,7,Summer
317,28,1949,7/11/1949,1940,7,Summer
258,29,1949,7/18/1949,1940,7,Summer
214,30,1949,7/25/1949,1940,7,Summer
248,31,1949,8/1/1949,1940,8,Summer
253,32,1949,8/8/1949,1940,8,Summer
221,33,1949,8/15/1949,1940,8,Summer
231,34,1949,8/22/1949,1940,8,Summer
220,35,1949,8/29/1949,1940,8,Summer
272,36,1949,9/5/1949,1940,9,Autumn
417,37,1949,9/12/1949,1940,9,Autumn
462,38,1949,9/19/1949,1940,9,Autumn
601,39,1949,9/26/1949,1940,9,Autumn
691,40,1949,10/3/1949,1940,10,Autumn
803,41,1949,10/10/1949,1940,10,Autumn
827,42,1949,10/17/1949,1940,10,Autumn
930,43,1949,10/24/1949,1940,10,Autumn
994,44,1949,10/31/1949,1940,10,Autumn
1010,45,1949,11/7/1949,1940,11,Autumn
1295,46,1949,11/14/1949,1940,11,Autumn
1183,47,1949,11/21/1949,1940,11,Autumn
1340,48,1949,11/28/1949,1940,11,Autumn
1461,49,1949,12/5/1949,1940,12,Winter
1292,50,1949,12/12/1949,1940,12,Winter
1083,51,1949,12/19/1949,1940,12,Winter
1614,52,1949,12/26/1949,1940,12,Winter
884,1,1950,1/2/1950,1950,1,Winter
1425,2,1950,1/9/1950,1950,1,Winter
1649,3,1950,1/16/1950,1950,1,Winter
1860,4,1950,1/23/1950,1950,1,Winter
1934,5,1950,1/30/1950,1950,1,Winter
1871,6,1950,2/6/1950,1950,2,Winter
2005,7,1950,2/13/1950,1950,2,Winter
1862,8,1950,2/20/1950,1950,2,Winter
1938,9,1950,2/27/1950,1950,2,Winter
1924,10,1950,3/6/1950,1950,3,Spring
1739,11,1950,3/13/1950,1950,3,Spring
1993,12,1950,3/20/1950,1950,3,Spring
1752,13,1950,3/27/1950,1950,3,Spring
1557,14,1950,4/3/1950,1950,4,Spring
1513,15,1950,4/10/1950,1950,4,Spring
1425,16,1950,4/17/1950,1950,4,Spring
1468,17,1950,4/24/1950,1950,4,Spring
2802,18,1950,5/1/1950,1950,5,Spring
1280,20,1950,5/15/1950,1950,5,Spring
1139,21,1950,5/22/1950,1950,5,Spring
1015,22,1950,5/29/1950,1950,5,Spring
947,23,1950,6/5/1950,1950,6,Summer
729,24,1950,6/12/1950,1950,6,Summer
632,25,1950,6/19/1950,1950,6,Summer
487,26,1950,6/26/1950,1950,6,Summer
413,27,1950,7/3/1950,1950,7,Summer
333,28,1950,7/10/1950,1950,7,Summer
317,29,1950,7/17/1950,1950,7,Summer
279,30,1950,7/24/1950,1950,7,Summer
257,31,1950,7/31/1950,1950,7,Summer
257,32,1950,8/7/1950,1950,8,Summer
240,33,1950,8/14/1950,1950,8,Summer
263,34,1950,8/21/1950,1950,8,Summer
264,35,1950,8/28/1950,1950,8,Summer
291,36,1950,9/4/1950,1950,9,Autumn
344,37,1950,9/11/1950,1950,9,Autumn
456,38,1950,9/18/1950,1950,9,Autumn
475,39,1950,9/25/1950,1950,9,Autumn
590,40,1950,10/2/1950,1950,10,Autumn
659,41,1950,10/9/1950,1950,10,Autumn
778,42,1950,10/16/1950,1950,10,Autumn
964,43,1950,10/23/1950,1950,10,Autumn
895,44,1950,10/30/1950,1950,10,Autumn
996,45,1950,11/6/1950,1950,11,Autumn
1098,46,1950,11/13/1950,1950,11,Autumn
1021,47,1950,11/20/1950,1950,11,Autumn
1161,48,1950,11/27/1950,1950,11,Autumn
1195,49,1950,12/4/1950,1950,12,Winter
1314,50,1950,12/11/1950,1950,12,Winter
1218,51,1950,12/18/1950,1950,12,Winter
1452,52,1950,12/25/1950,1950,12,Winter
1457,1,1951,1/1/1951,1950,1,Winter
1838,2,1951,1/8/1951,1950,1,Winter
2310,3,1951,1/15/1951,1950,1,Winter
2452,4,1951,1/22/1951,1950,1,Winter
2410,5,1951,1/29/1951,1950,1,Winter
2342,6,1951,2/5/1951,1950,2,Winter
2437,7,1951,2/12/1951,1950,2,Winter
2370,8,1951,2/19/1951,1950,2,Winter
2587,9,1951,2/26/1951,1950,2,Winter
2573,10,1951,3/5/1951,1950,3,Spring
2509,11,1951,3/12/1951,1950,3,Spring
2210,12,1951,3/19/1951,1950,3,Spring
2127,13,1951,3/26/1951,1950,3,Spring
2134,14,1951,4/2/1951,1950,4,Spring
2141,15,1951,4/9/1951,1950,4,Spring
2113,16,1951,4/16/1951,1950,4,Spring
2254,17,1951,4/23/1951,1950,4,Spring
1938,18,1951,4/30/1951,1950,4,Spring
1773,19,1951,5/7/1951,1950,5,Spring
1732,20,1951,5/14/1951,1950,5,Spring
1674,21,1951,5/21/1951,1950,5,Spring
1379,22,1951,5/28/1951,1950,5,Spring
1281,23,1951,6/4/1951,1950,6,Summer
1048,24,1951,6/11/1951,1950,6,Summer
914,25,1951,6/18/1951,1950,6,Summer
652,26,1951,6/25/1951,1950,6,Summer
494,27,1951,7/2/1951,1950,7,Summer
527,28,1951,7/9/1951,1950,7,Summer
425,29,1951,7/16/1951,1950,7,Summer
326,30,1951,7/23/1951,1950,7,Summer
642,31,1951,7/30/1951,1950,7,Summer
260,33,1951,8/13/1951,1950,8,Summer
259,34,1951,8/20/1951,1950,8,Summer
229,35,1951,8/27/1951,1950,8,Summer
227,36,1951,9/3/1951,1950,9,Autumn
325,37,1951,9/10/1951,1950,9,Autumn
391,38,1951,9/17/1951,1950,9,Autumn
491,39,1951,9/24/1951,1950,9,Autumn
525,40,1951,10/1/1951,1950,10,Autumn
568,41,1951,10/8/1951,1950,10,Autumn
771,42,1951,10/15/1951,1950,10,Autumn
811,43,1951,10/22/1951,1950,10,Autumn
864,44,1951,10/29/1951,1950,10,Autumn
896,45,1951,11/5/1951,1950,11,Autumn
1189,46,1951,11/12/1951,1950,11,Autumn
1049,47,1951,11/19/1951,1950,11,Autumn
1283,48,1951,11/26/1951,1950,11,Autumn
1531,49,1951,12/3/1951,1950,12,Winter
8667,1,1965,1/4/1965,1960,1,Winter
9931,2,1965,1/11/1965,1960,1,Winter
11335,4,1965,1/25/1965,1960,1,Winter
11713,5,1965,2/1/1965,1960,2,Winter
11264,6,1965,2/8/1965,1960,2,Winter
11972,7,1965,2/15/1965,1960,2,Winter
10504,8,1965,2/22/1965,1960,2,Winter
12784,10,1965,3/8/1965,1960,3,Spring
11453,11,1965,3/15/1965,1960,3,Spring
11974,12,1965,3/22/1965,1960,3,Spring
11683,13,1965,3/29/1965,1960,3,Spring
12068,9,1965,3/1/1965,1960,3,Spring
9949,15,1965,4/12/1965,1960,4,Spring
9675,16,1965,4/19/1965,1960,4,Spring
8056,17,1965,4/26/1965,1960,4,Spring
8717,18,1965,5/3/1965,1960,5,Spring
7678,19,1965,5/10/1965,1960,5,Spring
7884,20,1965,5/17/1965,1960,5,Spring
6661,21,1965,5/24/1965,1960,5,Spring
5718,22,1965,5/31/1965,1960,5,Spring
6404,23,1965,6/7/1965,1960,6,Summer
6142,24,1965,6/14/1965,1960,6,Summer
4574,26,1965,6/28/1965,1960,6,Summer
4304,27,1965,7/5/1965,1960,7,Summer
4515,28,1965,7/12/1965,1960,7,Summer
4144,29,1965,7/19/1965,1960,7,Summer
3876,30,1965,7/26/1965,1960,7,Summer
3797,31,1965,8/2/1965,1960,8,Summer
4190,32,1965,8/9/1965,1960,8,Summer
3200,33,1965,8/16/1965,1960,8,Summer
3927,34,1965,8/23/1965,1960,8,Summer
3534,35,1965,8/30/1965,1960,8,Summer
4371,36,1965,9/6/1965,1960,9,Autumn
4245,37,1965,9/13/1965,1960,9,Autumn
4691,38,1965,9/20/1965,1960,9,Autumn
5082,39,1965,9/27/1965,1960,9,Autumn
5487,40,1965,10/4/1965,1960,10,Autumn
6266,41,1965,10/11/1965,1960,10,Autumn
6149,42,1965,10/18/1965,1960,10,Autumn
5613,43,1965,10/25/1965,1960,10,Autumn
6489,44,1965,11/1/1965,1960,11,Autumn
6701,45,1965,11/8/1965,1960,11,Autumn
7333,46,1965,11/15/1965,1960,11,Autumn
6790,47,1965,11/22/1965,1960,11,Autumn
8194,48,1965,11/29/1965,1960,11,Autumn
8732,49,1965,12/6/1965,1960,12,Winter
7917,50,1965,12/13/1965,1960,12,Winter
6712,51,1965,12/20/1965,1960,12,Winter
7203,52,1965,12/27/1965,1960,12,Winter
10763,15,1966,4/11/1966,1960,4,Spring
