number,year,count,date,date,month,decade,season,monthname
3725,1958,47,21506,11/17/58,11,1950,Autumn ,November
3736,1958,48,21513,11/24/58,11,1950,Autumn ,November
4213,1958,49,21520,12/1/58,12,1950,Winter,December
5435,1958,50,21527,12/8/58,12,1950,Winter,December
4885,1958,51,21534,12/15/58,12,1950,Winter,December
4248,1958,52,21541,12/22/58,12,1950,Winter,December
8054,1959,1,21548,12/29/58,12,1950,Winter,December
7709,1959,2,21555,1/5/59,1,1950,Winter,January
8179,1959,3,21562,1/12/59,1,1950,Winter,January
9744,1959,4,21569,1/19/59,1,1950,Winter,January
10504,1959,5,21576,1/26/59,1,1950,Winter,January
11561,1959,6,21583,2/2/59,2,1950,Winter,February
13173,1959,7,21590,2/9/59,2,1950,Winter,February
15690,1959,8,21597,2/16/59,2,1950,Winter,February
16881,1959,9,21604,2/23/59,2,1950,Winter,February
18060,1959,10,21611,3/2/59,3,1950,Spring,March
16974,1959,11,21618,3/9/59,3,1950,Spring,March
15524,1959,12,21625,3/16/59,3,1950,Spring,March
14890,1959,13,21632,3/23/59,3,1950,Spring,March
17298,1959,14,21639,3/30/59,3,1950,Spring,March
14883,1959,15,21646,4/6/59,4,1950,Spring,April
15123,1959,17,21660,4/20/59,4,1950,Spring,April
16400,1959,18,21667,4/27/59,4,1950,Spring,April
14670,1959,19,21674,5/4/59,5,1950,Spring,May
15436,1959,20,21681,5/11/59,5,1950,Spring,May
12785,1959,21,21688,5/18/59,5,1950,Spring,May
12647,1959,22,21695,5/25/59,5,1950,Spring,May
10655,1959,23,21702,6/1/59,6,1950,Summer,June
9718,1959,24,21709,6/8/59,6,1950,Summer,June
6861,1959,25,21716,6/15/59,6,1950,Summer,June
5455,1959,26,21723,6/22/59,6,1950,Summer,June
5275,1959,27,21730,6/29/59,6,1950,Summer,June
3688,1959,28,21737,7/6/59,7,1950,Summer,July
3079,1959,29,21744,7/13/59,7,1950,Summer,July
2667,1959,30,21751,7/20/59,7,1950,Summer,July
2092,1959,31,21758,7/27/59,7,1950,Summer,July
1248,1959,33,21772,8/10/59,8,1950,Summer,August
1150,1959,34,21779,8/17/59,8,1950,Summer,August
906,1959,36,21793,8/31/59,8,1950,Summer,August
964,1959,37,21800,9/7/59,9,1950,Autumn,September
865,1959,38,21807,9/14/59,9,1950,Autumn,September
873,1959,39,21814,9/21/59,9,1950,Autumn,September
955,1959,40,21821,9/28/59,9,1950,Autumn,September
1286,1959,41,21828,10/5/59,10,1950,Autumn,October
1321,1959,42,21835,10/12/59,10,1950,Autumn,October
1547,1959,43,21842,10/19/59,10,1950,Autumn,October
1789,1959,44,21849,10/26/59,10,1950,Autumn,October
2597,1959,45,21856,11/2/59,11,1950,Autumn ,November
2890,1959,46,21863,11/9/59,11,1950,Autumn ,November
2538,1959,47,21870,11/16/59,11,1950,Autumn ,November
3880,1959,48,21877,11/23/59,11,1950,Autumn ,November
4559,1959,49,21884,11/30/59,11,1950,Autumn ,November
4548,1959,50,21891,12/7/59,12,1950,Winter,December
4912,1959,51,21898,12/14/59,12,1950,Winter,December
6961,1960,1,21919,1/4/60,1,1960,Winter,January
7566,1960,2,21926,1/11/60,1,1960,Winter,January
7441,1960,3,21933,1/18/60,1,1960,Winter,January
8763,1960,4,21940,1/25/60,1,1960,Winter,January
9729,1960,5,21947,2/1/60,2,1960,Winter,February
9201,1960,6,21954,2/8/60,2,1960,Winter,February
9952,1960,7,21961,2/15/60,2,1960,Winter,February
10292,1960,8,21968,2/22/60,2,1960,Winter,February
13484,1960,9,21975,2/29/60,2,1960,Winter,February
13520,1960,10,21982,3/7/60,3,1960,Spring,March
15319,1960,11,21989,3/14/60,3,1960,Spring,March
16437,1960,12,21996,3/21/60,3,1960,Spring,March
16298,1960,13,22003,3/28/60,3,1960,Spring,March
19197,1960,14,22010,4/4/60,4,1960,Spring,April
18616,1960,15,22017,4/11/60,4,1960,Spring,April
18696,1960,16,22024,4/18/60,4,1960,Spring,April
19806,1960,17,22031,4/25/60,4,1960,Spring,April
21658,1960,18,22038,5/2/60,5,1960,Spring,May
20728,1960,19,22045,5/9/60,5,1960,Spring,May
18833,1960,20,22052,5/16/60,5,1960,Spring,May
17590,1960,21,22059,5/23/60,5,1960,Spring,May
15433,1960,22,22066,5/30/60,5,1960,Spring,May
17138,1960,23,22073,6/6/60,6,1960,Summer,June
13241,1960,24,22080,6/13/60,6,1960,Summer,June
10952,1960,25,22087,6/20/60,6,1960,Summer,June
8025,1960,26,22094,6/27/60,6,1960,Summer,June
6693,1960,27,22101,7/4/60,7,1960,Summer,July
5824,1960,28,22108,7/11/60,7,1960,Summer,July
4565,1960,29,22115,7/18/60,7,1960,Summer,July
3337,1960,30,22122,7/25/60,7,1960,Summer,July
2613,1960,31,22129,8/1/60,8,1960,Summer,August
1880,1960,32,22136,8/8/60,8,1960,Summer,August
1534,1960,33,22143,8/15/60,8,1960,Summer,August
1055,1960,34,22150,8/22/60,8,1960,Summer,August
1234,1960,35,22157,8/29/60,8,1960,Summer,August
719,1960,36,22164,9/5/60,9,1960,Autumn,September
798,1960,37,22171,9/12/60,9,1960,Autumn,September
733,1960,38,22178,9/19/60,9,1960,Autumn,September
739,1960,39,22185,9/26/60,9,1960,Autumn,September
1026,1960,40,22192,10/3/60,10,1960,Autumn,October
883,1960,41,22199,10/10/60,10,1960,Autumn,October
1331,1960,42,22206,10/17/60,10,1960,Autumn,October
1504,1960,43,22213,10/24/60,10,1960,Autumn,October
1308,1960,44,22220,10/31/60,10,1960,Autumn,October
1739,1960,45,22227,11/7/60,11,1960,Autumn ,November
2455,1960,46,22234,11/14/60,11,1960,Autumn ,November
2357,1960,47,22241,11/21/60,11,1960,Autumn ,November
3582,1960,48,22248,11/28/60,11,1960,Autumn ,November
4060,1960,49,22255,12/5/60,12,1960,Winter,December
7150,1960,50,22262,12/12/60,12,1960,Winter,December
4020,1960,51,22269,12/19/60,12,1960,Winter,December
4206,1960,52,22276,12/26/60,12,1960,Winter,December
6261,1961,1,22283,1/2/61,1,1960,Winter,January
8459,1961,2,22290,1/9/61,1,1960,Winter,January
7489,1961,3,22297,1/16/61,1,1960,Winter,January
9403,1961,4,22304,1/23/61,1,1960,Winter,January
10204,1961,5,22311,1/30/61,1,1960,Winter,January
10668,1961,6,22318,2/6/61,2,1960,Winter,February
11714,1961,7,22325,2/13/61,2,1960,Winter,February
12296,1961,8,22332,2/20/61,2,1960,Winter,February
14250,1961,9,22339,2/27/61,2,1960,Winter,February
15064,1961,10,22346,3/6/61,3,1960,Spring,March
13733,1961,11,22353,3/13/61,3,1960,Spring,March
15511,1961,12,22360,3/20/61,3,1960,Spring,March
14547,1961,13,22367,3/27/61,3,1960,Spring,March
15126,1961,14,22374,4/3/61,4,1960,Spring,April
17580,1961,16,22388,4/17/61,4,1960,Spring,April
18177,1961,17,22395,4/24/61,4,1960,Spring,April
19051,1961,18,22402,5/1/61,5,1960,Spring,May
19858,1961,19,22409,5/8/61,5,1960,Spring,May
17162,1961,20,22416,5/15/61,5,1960,Spring,May
17864,1961,21,22423,5/22/61,5,1960,Spring,May
14898,1961,22,22430,5/29/61,5,1960,Spring,May
17030,1961,23,22437,6/5/61,6,1960,Summer,June
15038,1961,24,22444,6/12/61,6,1960,Summer,June
10966,1961,25,22451,6/19/61,6,1960,Summer,June
8161,1961,26,22458,6/26/61,6,1960,Summer,June
6087,1961,27,22465,7/3/61,7,1960,Summer,July
5132,1961,28,22472,7/10/61,7,1960,Summer,July
4055,1961,29,22479,7/17/61,7,1960,Summer,July
3052,1961,30,22486,7/24/61,7,1960,Summer,July
2521,1961,31,22493,7/31/61,7,1960,Summer,July
1746,1961,32,22500,8/7/61,8,1960,Summer,August
1465,1961,33,22507,8/14/61,8,1960,Summer,August
1017,1961,34,22514,8/21/61,8,1960,Summer,August
871,1961,35,22521,8/28/61,8,1960,Summer,August
693,1961,36,22528,9/4/61,9,1960,Autumn,September
734,1961,37,22535,9/11/61,9,1960,Autumn,September
627,1961,38,22542,9/18/61,9,1960,Autumn,September
706,1961,39,22549,9/25/61,9,1960,Autumn,September
888,1961,40,22556,10/2/61,10,1960,Autumn,October
911,1961,41,22563,10/9/61,10,1960,Autumn,October
1336,1961,42,22570,10/16/61,10,1960,Autumn,October
1536,1961,43,22577,10/23/61,10,1960,Autumn,October
1787,1961,44,22584,10/30/61,10,1960,Autumn,October
2283,1961,45,22591,11/6/61,11,1960,Autumn ,November
2653,1961,46,22598,11/13/61,11,1960,Autumn ,November
2183,1961,47,22605,11/20/61,11,1960,Autumn ,November
3592,1961,48,22612,11/27/61,11,1960,Autumn ,November
3646,1961,49,22619,12/4/61,12,1960,Winter,December
4283,1961,50,22626,12/11/61,12,1960,Winter,December
3985,1961,51,22633,12/18/61,12,1960,Winter,December
4252,1961,52,22640,12/25/61,12,1960,Winter,December
5895,1962,1,22647,1/1/62,1,1960,Winter,January
7589,1962,2,22654,1/8/62,1,1960,Winter,January
7306,1962,3,22661,1/15/62,1,1960,Winter,January
10621,1962,4,22668,1/22/62,1,1960,Winter,January
10277,1962,5,22675,1/29/62,1,1960,Winter,January
12404,1962,6,22682,2/5/62,2,1960,Winter,February
13088,1962,7,22689,2/12/62,2,1960,Winter,February
12803,1962,8,22696,2/19/62,2,1960,Winter,February
15814,1962,9,22703,2/26/62,2,1960,Winter,February
16414,1962,10,22710,3/5/62,3,1960,Spring,March
17654,1962,11,22717,3/12/62,3,1960,Spring,March
19247,1962,12,22724,3/19/62,3,1960,Spring,March
21946,1962,13,22731,3/26/62,3,1960,Spring,March
22077,1962,14,22738,4/2/62,4,1960,Spring,April
24158,1962,15,22745,4/9/62,4,1960,Spring,April
23809,1962,16,22752,4/16/62,4,1960,Spring,April
23523,1962,17,22759,4/23/62,4,1960,Spring,April
23934,1962,18,22766,4/30/62,4,1960,Spring,April
24632,1962,19,22773,5/7/62,5,1960,Spring,May
20575,1962,20,22780,5/14/62,5,1960,Spring,May
19613,1962,21,22787,5/21/62,5,1960,Spring,May
16375,1962,22,22794,5/28/62,5,1960,Spring,May
16035,1962,23,22801,6/4/62,6,1960,Summer,June
13188,1962,24,22808,6/11/62,6,1960,Summer,June
9536,1962,25,22815,6/18/62,6,1960,Summer,June
7510,1962,26,22822,6/25/62,6,1960,Summer,June
6559,1962,27,22829,7/2/62,7,1960,Summer,July
4817,1962,28,22836,7/9/62,7,1960,Summer,July
3730,1962,29,22843,7/16/62,7,1960,Summer,July
2601,1962,30,22850,7/23/62,7,1960,Summer,July
2184,1962,31,22857,7/30/62,7,1960,Summer,July
1660,1962,32,22864,8/6/62,8,1960,Summer,August
1406,1962,33,22871,8/13/62,8,1960,Summer,August
1084,1962,34,22878,8/20/62,8,1960,Summer,August
781,1962,35,22885,8/27/62,8,1960,Summer,August
745,1962,36,22892,9/3/62,9,1960,Autumn,September
842,1962,37,22899,9/10/62,9,1960,Autumn,September
788,1962,38,22906,9/17/62,9,1960,Autumn,September
848,1962,39,22913,9/24/62,9,1960,Autumn,September
1331,1962,40,22920,10/1/62,10,1960,Autumn,October
913,1962,41,22927,10/8/62,10,1960,Autumn,October
1325,1962,42,22934,10/15/62,10,1960,Autumn,October
1708,1962,43,22941,10/22/62,10,1960,Autumn,October
1495,1962,44,22948,10/29/62,10,1960,Autumn,October
1890,1962,45,22955,11/5/62,11,1960,Autumn ,November
2565,1962,46,22962,11/12/62,11,1960,Autumn ,November
2460,1962,47,22969,11/19/62,11,1960,Autumn ,November
2907,1962,48,22976,11/26/62,11,1960,Autumn ,November
3693,1962,49,22983,12/3/62,12,1960,Winter,December
3938,1962,50,22990,12/10/62,12,1960,Winter,December
3460,1962,51,22997,12/17/62,12,1960,Winter,December
4388,1962,52,23004,12/24/62,12,1960,Winter,December
4823,1963,1,23011,12/31/62,12,1960,Winter,December
8615,1963,3,23025,1/14/63,1,1960,Winter,January
8932,1963,4,23032,1/21/63,1,1960,Winter,January
9142,1963,5,23039,1/28/63,1,1960,Winter,January
11172,1963,6,23046,2/4/63,2,1960,Winter,February
10718,1963,7,23053,2/11/63,2,1960,Winter,February
10775,1963,8,23060,2/18/63,2,1960,Winter,February
13875,1963,10,23074,3/4/63,3,1960,Spring,March
13553,1963,11,23081,3/11/63,3,1960,Spring,March
15676,1963,13,23095,3/25/63,3,1960,Spring,March
15908,1963,14,23102,4/1/63,4,1960,Spring,April
17543,1963,15,23109,4/8/63,4,1960,Spring,April
17459,1963,16,23116,4/15/63,4,1960,Spring,April
16287,1963,17,23123,4/22/63,4,1960,Spring,April
17937,1963,19,23137,5/6/63,5,1960,Spring,May
16204,1963,20,23144,5/13/63,5,1960,Spring,May
15956,1963,21,23151,5/20/63,5,1960,Spring,May
13000,1963,22,23158,5/27/63,5,1960,Spring,May
14143,1963,23,23165,6/3/63,6,1960,Summer,June
12223,1963,24,23172,6/10/63,6,1960,Summer,June
8794,1963,25,23179,6/17/63,6,1960,Summer,June
7199,1963,26,23186,6/24/63,6,1960,Summer,June
4574,1963,27,23193,7/1/63,7,1960,Summer,July
4886,1963,28,23200,7/8/63,7,1960,Summer,July
3521,1963,29,23207,7/15/63,7,1960,Summer,July
2532,1963,30,23214,7/22/63,7,1960,Summer,July
1804,1963,31,23221,7/29/63,7,1960,Summer,July
1528,1963,32,23228,8/5/63,8,1960,Summer,August
1183,1963,33,23235,8/12/63,8,1960,Summer,August
996,1963,34,23242,8/19/63,8,1960,Summer,August
657,1963,35,23249,8/26/63,8,1960,Summer,August
664,1963,36,23256,9/2/63,9,1960,Autumn,September
825,1963,37,23263,9/9/63,9,1960,Autumn,September
737,1963,38,23270,9/16/63,9,1960,Autumn,September
850,1963,39,23277,9/23/63,9,1960,Autumn,September
805,1963,40,23284,9/30/63,9,1960,Autumn,September
857,1963,41,23291,10/7/63,10,1960,Autumn,October
981,1963,42,23298,10/14/63,10,1960,Autumn,October
1207,1963,43,23305,10/21/63,10,1960,Autumn,October
1448,1963,44,23312,10/28/63,10,1960,Autumn,October
1606,1963,45,23319,11/4/63,11,1960,Autumn ,November
1885,1963,46,23326,11/11/63,11,1960,Autumn ,November
2442,1963,47,23333,11/18/63,11,1960,Autumn ,November
2315,1963,48,23340,11/25/63,11,1960,Autumn ,November
3695,1963,49,23347,12/2/63,12,1960,Winter,December
3440,1963,50,23354,12/9/63,12,1960,Winter,December
3406,1963,51,23361,12/16/63,12,1960,Winter,December
3279,1963,52,23368,12/23/63,12,1960,Winter,December
2938,1964,1,23375,12/30/63,12,1960,Winter,December
4824,1964,2,23382,1/6/64,1,1960,Winter,January
5601,1964,3,23389,1/13/64,1,1960,Winter,January
6985,1964,4,23396,1/20/64,1,1960,Winter,January
6470,1964,5,23403,1/27/64,1,1960,Winter,January
8170,1964,6,23410,2/3/64,2,1960,Winter,February
8397,1964,7,23417,2/10/64,2,1960,Winter,February
9767,1964,8,23424,2/17/64,2,1960,Winter,February
10192,1964,9,23431,2/24/64,2,1960,Winter,February
11874,1964,10,23438,3/2/64,3,1960,Spring,March
15530,1964,11,23445,3/9/64,3,1960,Spring,March
16892,1964,12,23452,3/16/64,3,1960,Spring,March
14621,1964,13,23459,3/23/64,3,1960,Spring,March
17596,1964,14,23466,3/30/64,3,1960,Spring,March
26935,1964,15,23473,4/6/64,4,1960,Spring,April
29671,1964,16,23480,4/13/64,4,1960,Spring,April
29899,1964,17,23487,4/20/64,4,1960,Spring,April
28621,1964,19,23501,5/4/64,5,1960,Spring,May
26688,1964,20,23508,5/11/64,5,1960,Spring,May
30910,1964,21,23515,5/18/64,5,1960,Spring,May
24569,1964,22,23522,5/25/64,5,1960,Spring,May
16797,1964,23,23529,6/1/64,6,1960,Summer,June
12377,1964,24,23536,6/8/64,6,1960,Summer,June
11827,1964,25,23543,6/15/64,6,1960,Summer,June
6741,1964,26,23550,6/22/64,6,1960,Summer,June
4669,1964,27,23557,6/29/64,6,1960,Summer,June
4047,1964,28,23564,7/6/64,7,1960,Summer,July
2639,1964,29,23571,7/13/64,7,1960,Summer,July
2534,1964,30,23578,7/20/64,7,1960,Summer,July
1744,1964,31,23585,7/27/64,7,1960,Summer,July
1412,1964,32,23592,8/3/64,8,1960,Summer,August
919,1964,33,23599,8/10/64,8,1960,Summer,August
828,1964,34,23606,8/17/64,8,1960,Summer,August
704,1964,35,23613,8/24/64,8,1960,Summer,August
540,1964,36,23620,8/31/64,8,1960,Summer,August
425,1964,37,23627,9/7/64,9,1960,Autumn,September
554,1964,38,23634,9/14/64,9,1960,Autumn,September
608,1964,39,23641,9/21/64,9,1960,Autumn,September
718,1964,40,23648,9/28/64,9,1960,Autumn,September
800,1964,41,23655,10/5/64,10,1960,Autumn,October
961,1964,42,23662,10/12/64,10,1960,Autumn,October
1061,1964,43,23669,10/19/64,10,1960,Autumn,October
1179,1964,44,23676,10/26/64,10,1960,Autumn,October
1885,1964,45,23683,11/2/64,11,1960,Autumn ,November
1539,1964,46,23690,11/9/64,11,1960,Autumn ,November
2316,1964,47,23697,11/16/64,11,1960,Autumn ,November
2272,1964,48,23704,11/23/64,11,1960,Autumn ,November
2712,1964,49,23711,11/30/64,11,1960,Autumn ,November
3249,1964,50,23718,12/7/64,12,1960,Winter,December
3251,1964,51,23725,12/14/64,12,1960,Winter,December
2801,1964,52,23732,12/21/64,12,1960,Winter,December
5203,1965,1,23746,1/4/65,1,1960,Winter,January
6746,1965,2,23753,1/11/65,1,1960,Winter,January
6805,1965,3,23760,1/18/65,1,1960,Winter,January
7639,1965,4,23767,1/25/65,1,1960,Winter,January
7994,1965,5,23774,2/1/65,2,1960,Winter,February
8237,1965,6,23781,2/8/65,2,1960,Winter,February
9235,1965,7,23788,2/15/65,2,1960,Winter,February
8354,1965,8,23795,2/22/65,2,1960,Winter,February
12148,1965,10,23809,3/8/65,3,1960,Spring,March
11465,1965,11,23816,3/15/65,3,1960,Spring,March
11264,1965,12,23823,3/22/65,3,1960,Spring,March
10763,1965,13,23830,3/29/65,3,1960,Spring,March
9396,1965,9,23802,3/1/65,3,1960,Spring,March
11906,1965,14,23837,4/5/65,4,1960,Spring,April
10855,1965,15,23844,4/12/65,4,1960,Spring,April
11830,1965,16,23851,4/19/65,4,1960,Spring,April
10395,1965,17,23858,4/26/65,4,1960,Spring,April
11168,1965,18,23865,5/3/65,5,1960,Spring,May
8944,1965,19,23872,5/10/65,5,1960,Spring,May
9234,1965,20,23879,5/17/65,5,1960,Spring,May
7850,1965,21,23886,5/24/65,5,1960,Spring,May
7304,1965,22,23893,5/31/65,5,1960,Spring,May
7564,1965,23,23900,6/7/65,6,1960,Summer,June
6268,1965,24,23907,6/14/65,6,1960,Summer,June
3999,1965,25,23914,6/21/65,6,1960,Summer,June
3020,1965,26,23921,6/28/65,6,1960,Summer,June
2599,1965,27,23928,7/5/65,7,1960,Summer,July
2180,1965,28,23935,7/12/65,7,1960,Summer,July
1910,1965,29,23942,7/19/65,7,1960,Summer,July
1171,1965,30,23949,7/26/65,7,1960,Summer,July
1141,1965,31,23956,8/2/65,8,1960,Summer,August
921,1965,32,23963,8/9/65,8,1960,Summer,August
665,1965,33,23970,8/16/65,8,1960,Summer,August
597,1965,34,23977,8/23/65,8,1960,Summer,August
468,1965,35,23984,8/30/65,8,1960,Summer,August
450,1965,36,23991,9/6/65,9,1960,Autumn,September
623,1965,37,23998,9/13/65,9,1960,Autumn,September
624,1965,38,24005,9/20/65,9,1960,Autumn,September
638,1965,39,24012,9/27/65,9,1960,Autumn,September
830,1965,40,24019,10/4/65,10,1960,Autumn,October
872,1965,41,24026,10/11/65,10,1960,Autumn,October
782,1965,42,24033,10/18/65,10,1960,Autumn,October
1041,1965,43,24040,10/25/65,10,1960,Autumn,October
1356,1965,44,24047,11/1/65,11,1960,Autumn ,November
1235,1965,45,24054,11/8/65,11,1960,Autumn ,November
1702,1965,46,24061,11/15/65,11,1960,Autumn ,November
1414,1965,47,24068,11/22/65,11,1960,Autumn ,November
2630,1965,48,24075,11/29/65,11,1960,Autumn ,November
3070,1965,49,24082,12/6/65,12,1960,Winter,December
2866,1965,50,24089,12/13/65,12,1960,Winter,December
2762,1965,51,24096,12/20/65,12,1960,Winter,December
4150,1965,52,24103,12/27/65,12,1960,Winter,December
3861,1966,1,24110,1/3/66,1,1960,Winter,January
5544,1966,2,24117,1/10/66,1,1960,Winter,January
4932,1966,3,24124,1/17/66,1,1960,Winter,January
5727,1966,4,24131,1/24/66,1,1960,Winter,January
5857,1966,5,24138,1/31/66,1,1960,Winter,January
7083,1966,6,24145,2/7/66,2,1960,Winter,February
7444,1966,7,24152,2/14/66,2,1960,Winter,February
7914,1966,8,24159,2/21/66,2,1960,Winter,February
8664,1966,9,24166,2/28/66,2,1960,Winter,February
8897,1966,10,24173,3/7/66,3,1960,Spring,March
9642,1966,11,24180,3/14/66,3,1960,Spring,March
9469,1966,12,24187,3/21/66,3,1960,Spring,March
9133,1966,13,24194,3/28/66,3,1960,Spring,March
7561,1966,14,24201,4/4/66,4,1960,Spring,April
7575,1966,15,24208,4/11/66,4,1960,Spring,April
8514,1966,16,24215,4/18/66,4,1960,Spring,April
8163,1966,17,24222,4/25/66,4,1960,Spring,April
8117,1966,18,24229,5/2/66,5,1960,Spring,May
8095,1966,19,24236,5/9/66,5,1960,Spring,May
7348,1966,20,24243,5/16/66,5,1960,Spring,May
6530,1966,21,24250,5/23/66,5,1960,Spring,May
5910,1966,22,24257,5/30/66,5,1960,Spring,May
6028,1966,23,24264,6/6/66,6,1960,Summer,June
4472,1966,24,24271,6/13/66,6,1960,Summer,June
3225,1966,25,24278,6/20/66,6,1960,Summer,June
2718,1966,26,24285,6/27/66,6,1960,Summer,June
2061,1966,27,24292,7/4/66,7,1960,Summer,July
1871,1966,28,24299,7/11/66,7,1960,Summer,July
1418,1966,29,24306,7/18/66,7,1960,Summer,July
1318,1966,30,24313,7/25/66,7,1960,Summer,July
844,1966,31,24320,8/1/66,8,1960,Summer,August
782,1966,32,24327,8/8/66,8,1960,Summer,August
693,1966,33,24334,8/15/66,8,1960,Summer,August
491,1966,34,24341,8/22/66,8,1960,Summer,August
516,1966,35,24348,8/29/66,8,1960,Summer,August
410,1966,36,24355,9/5/66,9,1960,Autumn,September
397,1966,37,24362,9/12/66,9,1960,Autumn,September
375,1966,38,24369,9/19/66,9,1960,Autumn,September
478,1966,39,24376,9/26/66,9,1960,Autumn,September
472,1966,40,24383,10/3/66,10,1960,Autumn,October
681,1966,41,24390,10/10/66,10,1960,Autumn,October
633,1966,42,24397,10/17/66,10,1960,Autumn,October
728,1966,43,24404,10/24/66,10,1960,Autumn,October
539,1966,44,24411,10/31/66,10,1960,Autumn,October
716,1966,45,24418,11/7/66,11,1960,Autumn ,November
1159,1966,46,24425,11/14/66,11,1960,Autumn ,November
950,1966,47,24432,11/21/66,11,1960,Autumn ,November
1472,1966,48,24439,11/28/66,11,1960,Autumn ,November
1433,1966,50,24453,12/12/66,12,1960,Winter,December
948,1966,51,24460,12/19/66,12,1960,Winter,December
1080,1966,52,24467,12/26/66,12,1960,Winter,December
1072,1967,1,24474,1/2/67,1,1960,Winter,January
1345,1967,2,24481,1/9/67,1,1960,Winter,January
1451,1967,3,24488,1/16/67,1,1960,Winter,January
1660,1967,4,24495,1/23/67,1,1960,Winter,January
2205,1967,5,24502,1/30/67,1,1960,Winter,January
2406,1967,6,24509,2/6/67,2,1960,Winter,February
2023,1967,7,24516,2/13/67,2,1960,Winter,February
2465,1967,8,24523,2/20/67,2,1960,Winter,February
2390,1967,9,24530,2/27/67,2,1960,Winter,February
2537,1967,10,24537,3/6/67,3,1960,Spring,March
2541,1967,11,24544,3/13/67,3,1960,Spring,March
2578,1967,12,24551,3/20/67,3,1960,Spring,March
2519,1967,13,24558,3/27/67,3,1960,Spring,March
2559,1967,14,24565,4/3/67,4,1960,Spring,April
2690,1967,15,24572,4/10/67,4,1960,Spring,April
2068,1967,16,24579,4/17/67,4,1960,Spring,April
2433,1967,17,24586,4/24/67,4,1960,Spring,April
2355,1967,18,24593,5/1/67,5,1960,Spring,May
2257,1967,19,24600,5/8/67,5,1960,Spring,May
1825,1967,20,24607,5/15/67,5,1960,Spring,May
2244,1967,21,24614,5/22/67,5,1960,Spring,May
1670,1967,22,24621,5/29/67,5,1960,Spring,May
1602,1967,23,24628,6/5/67,6,1960,Summer,June
1239,1967,24,24635,6/12/67,6,1960,Summer,June
786,1967,25,24642,6/19/67,6,1960,Summer,June
694,1967,26,24649,6/26/67,6,1960,Summer,June
545,1967,27,24656,7/3/67,7,1960,Summer,July
534,1967,28,24663,7/10/67,7,1960,Summer,July
356,1967,29,24670,7/17/67,7,1960,Summer,July
286,1967,30,24677,7/24/67,7,1960,Summer,July
288,1967,31,24684,7/31/67,7,1960,Summer,July
222,1967,32,24691,8/7/67,8,1960,Summer,August
230,1967,33,24698,8/14/67,8,1960,Summer,August
175,1967,34,24705,8/21/67,8,1960,Summer,August
172,1967,35,24712,8/28/67,8,1960,Summer,August
194,1967,36,24719,9/4/67,9,1960,Autumn,September
225,1967,37,24726,9/11/67,9,1960,Autumn,September
204,1967,38,24733,9/18/67,9,1960,Autumn,September
176,1967,39,24740,9/25/67,9,1960,Autumn,September
223,1967,40,24747,10/2/67,10,1960,Autumn,October
263,1967,41,24754,10/9/67,10,1960,Autumn,October
360,1967,42,24761,10/16/67,10,1960,Autumn,October
299,1967,43,24768,10/23/67,10,1960,Autumn,October
243,1967,44,24775,10/30/67,10,1960,Autumn,October
260,1967,45,24782,11/6/67,11,1960,Autumn ,November
310,1967,46,24789,11/13/67,11,1960,Autumn ,November
286,1967,47,24796,11/20/67,11,1960,Autumn ,November
248,1967,48,24803,11/27/67,11,1960,Autumn ,November
372,1967,49,24810,12/4/67,12,1960,Winter,December
425,1967,50,24817,12/11/67,12,1960,Winter,December
262,1967,51,24824,12/18/67,12,1960,Winter,December
340,1967,52,24831,12/25/67,12,1960,Winter,December
242,1968,1,24838,1/1/68,1,1960,Winter,January
480,1968,2,24845,1/8/68,1,1960,Winter,January
555,1968,3,24852,1/15/68,1,1960,Winter,January
541,1968,4,24859,1/22/68,1,1960,Winter,January
548,1968,5,24866,1/29/68,1,1960,Winter,January
648,1968,6,24873,2/5/68,2,1960,Winter,February
537,1968,7,24880,2/12/68,2,1960,Winter,February
593,1968,8,24887,2/19/68,2,1960,Winter,February
736,1968,9,24894,2/26/68,2,1960,Winter,February
699,1968,10,24901,3/4/68,3,1960,Spring,March
688,1968,11,24908,3/11/68,3,1960,Spring,March
980,1968,12,24915,3/18/68,3,1960,Spring,March
851,1968,13,24922,3/25/68,3,1960,Spring,March
947,1968,14,24929,4/1/68,4,1960,Spring,April
786,1968,15,24936,4/8/68,4,1960,Spring,April
816,1968,16,24943,4/15/68,4,1960,Spring,April
935,1968,17,24950,4/22/68,4,1960,Spring,April
685,1968,18,24957,4/29/68,4,1960,Spring,April
822,1968,19,24964,5/6/68,5,1960,Spring,May
927,1968,20,24971,5/13/68,5,1960,Spring,May
717,1968,21,24978,5/20/68,5,1960,Spring,May
725,1968,22,24985,5/27/68,5,1960,Spring,May
592,1968,23,24992,6/3/68,6,1960,Summer,June
651,1968,24,24999,6/10/68,6,1960,Summer,June
522,1968,25,25006,6/17/68,6,1960,Summer,June
502,1968,26,25013,6/24/68,6,1960,Summer,June
234,1968,27,25020,7/1/68,7,1960,Summer,July
325,1968,28,25027,7/8/68,7,1960,Summer,July
276,1968,29,25034,7/15/68,7,1960,Summer,July
232,1968,30,25041,7/22/68,7,1960,Summer,July
234,1968,31,25048,7/29/68,7,1960,Summer,July
202,1968,32,25055,8/5/68,8,1960,Summer,August
232,1968,33,25062,8/12/68,8,1960,Summer,August
91,1968,34,25069,8/19/68,8,1960,Summer,August
126,1968,35,25076,8/26/68,8,1960,Summer,August
